Bash version 5.0.16(1)-release...
Welcome 1 times
Nodes num:  10  AS: 50 Step  38 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Nodes num:  10  AS: 50 Step  39 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Nodes num:  10  AS: 50 Step  40 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Nodes num:  10  AS: 50 Step  41 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Nodes num:  10  AS: 50 Step  42 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Nodes num:  10  AS: 50 Step  43 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Nodes num:  10  AS: 50 Step  44 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Nodes num:  10  AS: 50 Step  45 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Nodes num:  10  AS: 50 Step  46 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Nodes num:  10  AS: 50 Step  47 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Nodes num:  10  AS: 50 Step  48 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Nodes num:  10  AS: 50 Step  49 ; sS:  82  avg  8.2 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.2 ; Done: 10
Welcome 2 times
Nodes num:  10  AS: 50 Step  1 ; sS:  73  avg  7.3 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.4 ; Done: 10
Nodes num:  10  AS: 50 Step  2 ; sS:  73  avg  7.3 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.4 ; Done: 10
Nodes num:  10  AS: 50 Step  3 ; sS:  73  avg  7.3 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.4 ; Done: 10
Nodes num:  10  AS: 50 Step  4 ; sS:  73  avg  7.3 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.4 ; Done: 10
Nodes num:  10  AS: 50 Step  5 ; sS:  73  avg  7.3 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.4 ; Done: 10
Nodes num:  10  AS: 50 Step  6 ; sS:  73  avg  7.3 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.4 ; Done: 10
Nodes num:  10  AS: 50 Step  7 ; sS:  73  avg  7.3 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.4 ; Done: 10
Nodes num:  10  AS: 50 Step  8 ; sS:  73  avg  7.3 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.4 ; Done: 10
Nodes num:  10  AS: 50 Step  9 ; sS:  73  avg  7.3 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.4 ; Done: 10
Nodes num:  10  AS: 50 Step  10 ; sS:  73  avg  7.3 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.4 ; Done: 10
Nodes num:  10  AS: 50 Step  11 ; sS:  73  avg  7.3 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.4 ; Done: 10
Nodes num:  10  AS: 50 Step  12 ; sS:  73  avg  7.3 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.4 ; Done: 10
Nodes num:  10  AS: 50 Step  13 ; sS:  73  avg  7.3 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  0.4 ; Done: 10
