Bash version 5.0.16(1)-release...
Welcome 1 times
Nodes num:  100  AS: 50 Step  38 ; sS:  2445  avg  24.45 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.72 ; Done: 100
Nodes num:  100  AS: 50 Step  39 ; sS:  2445  avg  24.45 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.72 ; Done: 100
Nodes num:  100  AS: 50 Step  40 ; sS:  2445  avg  24.45 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.72 ; Done: 100
Nodes num:  100  AS: 50 Step  41 ; sS:  2445  avg  24.45 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.72 ; Done: 100
Nodes num:  100  AS: 50 Step  42 ; sS:  2445  avg  24.45 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.72 ; Done: 100
Nodes num:  100  AS: 50 Step  43 ; sS:  2445  avg  24.45 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.72 ; Done: 100
Nodes num:  100  AS: 50 Step  44 ; sS:  2445  avg  24.45 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.72 ; Done: 100
Nodes num:  100  AS: 50 Step  45 ; sS:  2445  avg  24.45 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.72 ; Done: 100
Nodes num:  100  AS: 50 Step  46 ; sS:  2445  avg  24.45 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.72 ; Done: 100
Nodes num:  100  AS: 50 Step  47 ; sS:  2445  avg  24.45 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.72 ; Done: 100
Nodes num:  100  AS: 50 Step  48 ; sS:  2445  avg  24.45 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.72 ; Done: 100
Nodes num:  100  AS: 50 Step  49 ; sS:  2445  avg  24.45 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.72 ; Done: 100
Welcome 2 times
Nodes num:  100  AS: 50 Step  1 ; sS:  1412  avg  14.12 ; cS:  6748  avg  67.48 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 25
Nodes num:  100  AS: 50 Step  2 ; sS:  2184  avg  21.84 ; cS:  3793  avg  37.93 ; tC  568  avg  5.68 ; avgNs:  3.24 ; Done: 57
Nodes num:  100  AS: 50 Step  3 ; sS:  2149  avg  21.49 ; cS:  3113  avg  31.13 ; tC  210  avg  2.1 ; avgNs:  3.24 ; Done: 53
Nodes num:  100  AS: 50 Step  4 ; sS:  4041  avg  40.41 ; cS:  872  avg  8.72 ; tC  8888  avg  88.88 ; avgNs:  3.24 ; Done: 86
Nodes num:  100  AS: 50 Step  5 ; sS:  2532  avg  25.32 ; cS:  70  avg  0.7 ; tC  514  avg  5.14 ; avgNs:  3.24 ; Done: 97
Nodes num:  100  AS: 50 Step  6 ; sS:  2852  avg  28.52 ; cS:  41  avg  0.41 ; tC  620  avg  6.2 ; avgNs:  3.24 ; Done: 96
Nodes num:  100  AS: 50 Step  7 ; sS:  2591  avg  25.91 ; cS:  0  avg  0.0 ; tC  12  avg  0.12 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  8 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  9 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  10 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  11 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  12 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  13 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  14 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  15 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  16 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  17 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  18 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  19 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  20 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  21 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  22 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  23 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  24 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  25 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  26 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  27 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  28 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
Nodes num:  100  AS: 50 Step  29 ; sS:  2588  avg  25.88 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  3.24 ; Done: 100
