Nodes num:  100  AS: 50 Step  38 ; sS:  2632  avg  26.32 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.74 ; Done: 100
Nodes num:  100  AS: 50 Step  39 ; sS:  2632  avg  26.32 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.74 ; Done: 100
Nodes num:  100  AS: 50 Step  40 ; sS:  2632  avg  26.32 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.74 ; Done: 100
Nodes num:  100  AS: 50 Step  41 ; sS:  2632  avg  26.32 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.74 ; Done: 100
Nodes num:  100  AS: 50 Step  42 ; sS:  2632  avg  26.32 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.74 ; Done: 100
Nodes num:  100  AS: 50 Step  43 ; sS:  2632  avg  26.32 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.74 ; Done: 100
Nodes num:  100  AS: 50 Step  44 ; sS:  2632  avg  26.32 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.74 ; Done: 100
Nodes num:  100  AS: 50 Step  45 ; sS:  2632  avg  26.32 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.74 ; Done: 100
Nodes num:  100  AS: 50 Step  46 ; sS:  2632  avg  26.32 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.74 ; Done: 100
Nodes num:  100  AS: 50 Step  47 ; sS:  2632  avg  26.32 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.74 ; Done: 100
Nodes num:  100  AS: 50 Step  48 ; sS:  2632  avg  26.32 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.74 ; Done: 100
Nodes num:  100  AS: 50 Step  49 ; sS:  2632  avg  26.32 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.74 ; Done: 100
