Bash version 5.0.16(1)-release...
Welcome 1 times
Nodes num:  1000  AS: 50 Step  1 ; sS:  1000  avg  1.0 ; cS:  908268  avg  908.268 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 0
Nodes num:  1000  AS: 50 Step  2 ; sS:  1000  avg  1.0 ; cS:  908268  avg  908.268 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 0
Nodes num:  1000  AS: 50 Step  3 ; sS:  1000  avg  1.0 ; cS:  908268  avg  908.268 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 0
Nodes num:  1000  AS: 50 Step  4 ; sS:  909268  avg  909.268 ; cS:  0  avg  0.0 ; tC  25222990  avg  25222.99 ; avgNs:  28.524 ; Done: 1000
Nodes num:  1000  AS: 50 Step  5 ; sS:  47267  avg  47.267 ; cS:  0  avg  0.0 ; tC  570830  avg  570.83 ; avgNs:  28.524 ; Done: 1000
Nodes num:  1000  AS: 50 Step  6 ; sS:  29204  avg  29.204 ; cS:  404200  avg  404.2 ; tC  91090  avg  91.09 ; avgNs:  28.524 ; Done: 319
Nodes num:  1000  AS: 50 Step  7 ; sS:  19429  avg  19.429 ; cS:  106789  avg  106.789 ; tC  14886  avg  14.886 ; avgNs:  28.524 ; Done: 119
Nodes num:  1000  AS: 50 Step  8 ; sS:  17513  avg  17.513 ; cS:  113769  avg  113.769 ; tC  2362  avg  2.362 ; avgNs:  28.524 ; Done: 84
Nodes num:  1000  AS: 50 Step  9 ; sS:  17012  avg  17.012 ; cS:  115676  avg  115.676 ; tC  376  avg  0.376 ; avgNs:  28.524 ; Done: 80
Nodes num:  1000  AS: 50 Step  10 ; sS:  17003  avg  17.003 ; cS:  116911  avg  116.911 ; tC  110  avg  0.11 ; avgNs:  28.524 ; Done: 118
Nodes num:  1000  AS: 50 Step  11 ; sS:  17007  avg  17.007 ; cS:  116470  avg  116.47 ; tC  2  avg  0.002 ; avgNs:  28.524 ; Done: 153
Nodes num:  1000  AS: 50 Step  12 ; sS:  23579  avg  23.579 ; cS:  109424  avg  109.424 ; tC  37134  avg  37.134 ; avgNs:  28.524 ; Done: 265
Nodes num:  1000  AS: 50 Step  13 ; sS:  36030  avg  36.03 ; cS:  59281  avg  59.281 ; tC  97528  avg  97.528 ; avgNs:  28.524 ; Done: 586
Nodes num:  1000  AS: 50 Step  14 ; sS:  24818  avg  24.818 ; cS:  7084  avg  7.084 ; tC  14450  avg  14.45 ; avgNs:  28.524 ; Done: 744
Nodes num:  1000  AS: 50 Step  15 ; sS:  23400  avg  23.4 ; cS:  15181  avg  15.181 ; tC  1392  avg  1.392 ; avgNs:  28.524 ; Done: 763
Nodes num:  1000  AS: 50 Step  16 ; sS:  23450  avg  23.45 ; cS:  4936  avg  4.936 ; tC  792  avg  0.792 ; avgNs:  28.524 ; Done: 862
Nodes num:  1000  AS: 50 Step  17 ; sS:  23536  avg  23.536 ; cS:  3495  avg  3.495 ; tC  62  avg  0.062 ; avgNs:  28.524 ; Done: 908
Nodes num:  1000  AS: 50 Step  18 ; sS:  23992  avg  23.992 ; cS:  2099  avg  2.099 ; tC  26  avg  0.026 ; avgNs:  28.524 ; Done: 944
Nodes num:  1000  AS: 50 Step  19 ; sS:  24024  avg  24.024 ; cS:  169  avg  0.169 ; tC  18  avg  0.018 ; avgNs:  28.524 ; Done: 971
Nodes num:  1000  AS: 50 Step  20 ; sS:  24025  avg  24.025 ; cS:  25  avg  0.025 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 992
Nodes num:  1000  AS: 50 Step  21 ; sS:  24030  avg  24.03 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 1000
Nodes num:  1000  AS: 50 Step  22 ; sS:  24030  avg  24.03 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 1000
Nodes num:  1000  AS: 50 Step  23 ; sS:  24030  avg  24.03 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 1000
Nodes num:  1000  AS: 50 Step  24 ; sS:  24030  avg  24.03 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 1000
Nodes num:  1000  AS: 50 Step  25 ; sS:  24030  avg  24.03 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 1000
Nodes num:  1000  AS: 50 Step  26 ; sS:  24030  avg  24.03 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 1000
Nodes num:  1000  AS: 50 Step  27 ; sS:  24030  avg  24.03 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 1000
Nodes num:  1000  AS: 50 Step  28 ; sS:  24030  avg  24.03 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 1000
Nodes num:  1000  AS: 50 Step  29 ; sS:  24030  avg  24.03 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 1000
Nodes num:  1000  AS: 50 Step  30 ; sS:  24030  avg  24.03 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 1000
Nodes num:  1000  AS: 50 Step  31 ; sS:  24030  avg  24.03 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 1000
Nodes num:  1000  AS: 50 Step  32 ; sS:  24030  avg  24.03 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 1000
Nodes num:  1000  AS: 50 Step  33 ; sS:  24030  avg  24.03 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 1000
Nodes num:  1000  AS: 50 Step  34 ; sS:  24030  avg  24.03 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 1000
Nodes num:  1000  AS: 50 Step  35 ; sS:  24030  avg  24.03 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 1000
Nodes num:  1000  AS: 50 Step  36 ; sS:  24030  avg  24.03 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 1000
Nodes num:  1000  AS: 50 Step  37 ; sS:  24030  avg  24.03 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 1000
Nodes num:  1000  AS: 50 Step  38 ; sS:  24030  avg  24.03 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 1000
Nodes num:  1000  AS: 50 Step  39 ; sS:  24030  avg  24.03 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 1000
Nodes num:  1000  AS: 50 Step  40 ; sS:  24030  avg  24.03 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 1000
Nodes num:  1000  AS: 50 Step  41 ; sS:  24030  avg  24.03 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 1000
Nodes num:  1000  AS: 50 Step  42 ; sS:  24030  avg  24.03 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 1000
Nodes num:  1000  AS: 50 Step  43 ; sS:  24030  avg  24.03 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 1000
Nodes num:  1000  AS: 50 Step  44 ; sS:  24030  avg  24.03 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 1000
Nodes num:  1000  AS: 50 Step  45 ; sS:  24030  avg  24.03 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 1000
Nodes num:  1000  AS: 50 Step  46 ; sS:  24030  avg  24.03 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 1000
Nodes num:  1000  AS: 50 Step  47 ; sS:  24030  avg  24.03 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 1000
Nodes num:  1000  AS: 50 Step  48 ; sS:  24030  avg  24.03 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 1000
Nodes num:  1000  AS: 50 Step  49 ; sS:  24030  avg  24.03 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.524 ; Done: 1000
Welcome 2 times
Nodes num:  1000  AS: 50 Step  1 ; sS:  1001  avg  1.001 ; cS:  910388  avg  910.388 ; tC  0  avg  0.0 ; avgNs:  28.382 ; Done: 0
Nodes num:  1000  AS: 50 Step  2 ; sS:  1001  avg  1.001 ; cS:  910388  avg  910.388 ; tC  0  avg  0.0 ; avgNs:  28.382 ; Done: 0
Nodes num:  1000  AS: 50 Step  3 ; sS:  1001  avg  1.001 ; cS:  910388  avg  910.388 ; tC  0  avg  0.0 ; avgNs:  28.382 ; Done: 0
Nodes num:  1000  AS: 50 Step  4 ; sS:  911389  avg  911.389 ; cS:  0  avg  0.0 ; tC  25204252  avg  25204.252 ; avgNs:  28.382 ; Done: 1000
Nodes num:  1000  AS: 50 Step  5 ; sS:  42804  avg  42.804 ; cS:  0  avg  0.0 ; tC  458926  avg  458.926 ; avgNs:  28.382 ; Done: 1000
Nodes num:  1000  AS: 50 Step  6 ; sS:  26758  avg  26.758 ; cS:  421661  avg  421.661 ; tC  77702  avg  77.702 ; avgNs:  28.382 ; Done: 343
Nodes num:  1000  AS: 50 Step  7 ; sS:  18921  avg  18.921 ; cS:  118962  avg  118.962 ; tC  14140  avg  14.14 ; avgNs:  28.382 ; Done: 196
Nodes num:  1000  AS: 50 Step  8 ; sS:  16369  avg  16.369 ; cS:  124627  avg  124.627 ; tC  2426  avg  2.426 ; avgNs:  28.382 ; Done: 125
Nodes num:  1000  AS: 50 Step  9 ; sS:  15921  avg  15.921 ; cS:  130417  avg  130.417 ; tC  330  avg  0.33 ; avgNs:  28.382 ; Done: 149
Nodes num:  1000  AS: 50 Step  10 ; sS:  15986  avg  15.986 ; cS:  130604  avg  130.604 ; tC  60  avg  0.06 ; avgNs:  28.382 ; Done: 212
Nodes num:  1000  AS: 50 Step  11 ; sS:  16551  avg  16.551 ; cS:  127726  avg  127.726 ; tC  428  avg  0.428 ; avgNs:  28.382 ; Done: 268
Nodes num:  1000  AS: 50 Step  12 ; sS:  20398  avg  20.398 ; cS:  120378  avg  120.378 ; tC  4266  avg  4.266 ; avgNs:  28.382 ; Done: 354
Nodes num:  1000  AS: 50 Step  13 ; sS:  25459  avg  25.459 ; cS:  49470  avg  49.47 ; tC  36390  avg  36.39 ; avgNs:  28.382 ; Done: 593
Nodes num:  1000  AS: 50 Step  14 ; sS:  23716  avg  23.716 ; cS:  39221  avg  39.221 ; tC  5612  avg  5.612 ; avgNs:  28.382 ; Done: 715
Nodes num:  1000  AS: 50 Step  15 ; sS:  23117  avg  23.117 ; cS:  9392  avg  9.392 ; tC  1554  avg  1.554 ; avgNs:  28.382 ; Done: 775
Nodes num:  1000  AS: 50 Step  16 ; sS:  23823  avg  23.823 ; cS:  6295  avg  6.295 ; tC  4516  avg  4.516 ; avgNs:  28.382 ; Done: 858
Nodes num:  1000  AS: 50 Step  17 ; sS:  23305  avg  23.305 ; cS:  5278  avg  5.278 ; tC  180  avg  0.18 ; avgNs:  28.382 ; Done: 888
Nodes num:  1000  AS: 50 Step  18 ; sS:  23369  avg  23.369 ; cS:  4844  avg  4.844 ; tC  124  avg  0.124 ; avgNs:  28.382 ; Done: 915
Nodes num:  1000  AS: 50 Step  19 ; sS:  23422  avg  23.422 ; cS:  3860  avg  3.86 ; tC  58  avg  0.058 ; avgNs:  28.382 ; Done: 947
Nodes num:  1000  AS: 50 Step  20 ; sS:  23442  avg  23.442 ; cS:  3544  avg  3.544 ; tC  0  avg  0.0 ; avgNs:  28.382 ; Done: 957
Nodes num:  1000  AS: 50 Step  21 ; sS:  23539  avg  23.539 ; cS:  3244  avg  3.244 ; tC  12  avg  0.012 ; avgNs:  28.382 ; Done: 962
Nodes num:  1000  AS: 50 Step  22 ; sS:  23624  avg  23.624 ; cS:  2438  avg  2.438 ; tC  68  avg  0.068 ; avgNs:  28.382 ; Done: 969
Nodes num:  1000  AS: 50 Step  23 ; sS:  23730  avg  23.73 ; cS:  2111  avg  2.111 ; tC  4  avg  0.004 ; avgNs:  28.382 ; Done: 976
Nodes num:  1000  AS: 50 Step  24 ; sS:  23743  avg  23.743 ; cS:  892  avg  0.892 ; tC  4  avg  0.004 ; avgNs:  28.382 ; Done: 979
Nodes num:  1000  AS: 50 Step  25 ; sS:  23756  avg  23.756 ; cS:  863  avg  0.863 ; tC  0  avg  0.0 ; avgNs:  28.382 ; Done: 979
Nodes num:  1000  AS: 50 Step  26 ; sS:  23904  avg  23.904 ; cS:  685  avg  0.685 ; tC  414  avg  0.414 ; avgNs:  28.382 ; Done: 984
Nodes num:  1000  AS: 50 Step  27 ; sS:  23800  avg  23.8 ; cS:  483  avg  0.483 ; tC  0  avg  0.0 ; avgNs:  28.382 ; Done: 990
Nodes num:  1000  AS: 50 Step  28 ; sS:  23800  avg  23.8 ; cS:  479  avg  0.479 ; tC  0  avg  0.0 ; avgNs:  28.382 ; Done: 990
Nodes num:  1000  AS: 50 Step  29 ; sS:  23800  avg  23.8 ; cS:  479  avg  0.479 ; tC  0  avg  0.0 ; avgNs:  28.382 ; Done: 990
Nodes num:  1000  AS: 50 Step  30 ; sS:  24012  avg  24.012 ; cS:  267  avg  0.267 ; tC  362  avg  0.362 ; avgNs:  28.382 ; Done: 996
Nodes num:  1000  AS: 50 Step  31 ; sS:  23924  avg  23.924 ; cS:  0  avg  0.0 ; tC  114  avg  0.114 ; avgNs:  28.382 ; Done: 1000
Nodes num:  1000  AS: 50 Step  32 ; sS:  23867  avg  23.867 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.382 ; Done: 1000
Nodes num:  1000  AS: 50 Step  33 ; sS:  23867  avg  23.867 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.382 ; Done: 1000
Nodes num:  1000  AS: 50 Step  34 ; sS:  23867  avg  23.867 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.382 ; Done: 1000
Nodes num:  1000  AS: 50 Step  35 ; sS:  23867  avg  23.867 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.382 ; Done: 1000
Nodes num:  1000  AS: 50 Step  36 ; sS:  23867  avg  23.867 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.382 ; Done: 1000
Nodes num:  1000  AS: 50 Step  37 ; sS:  23867  avg  23.867 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.382 ; Done: 1000
Nodes num:  1000  AS: 50 Step  38 ; sS:  23867  avg  23.867 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  28.382 ; Done: 1000
